,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,close
25,openat
26,read
27,fstat
28,mmap2
29,mprotect
30,mmap2
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,mmap2
40,close
41,mmap2
42,arch_prctl
43,mprotect
44,mprotect
45,mprotect
46,mprotect
47,mprotect
48,set_tid_address
49,set_robust_list
50,rt_sigaction
51,rt_sigaction
52,rt_sigprocmask
53,prlimit64
54,openat
55,read
56,close
57,futex
58,futex
59,brk
60,brk
61,openat
62,read
63,close
64,mmap2
65,brk
66,mmap2
67,brk
68,mlock
69,openat
70,fstat
71,fstat
72,read
73,lseek
74,read
75,close
76,futex
77,futex
78,futex
79,futex
80,brk
81,futex
82,futex
83,futex
84,futex
85,futex
86,futex
87,futex
88,futex
89,futex
90,openat
91,futex
92,futex
93,sysinfo
94,futex
95,getpid
96,mmap2
97,socketpair
98,fcntl
99,fcntl
100,fcntl
101,fcntl
102,socketpair
103,fcntl
104,fcntl
105,fcntl
106,fcntl
107,brk
108,brk
109,brk
110,brk
111,brk
112,brk
113,brk
114,brk
115,close
116,close
117,close
118,close
119,munmap
120,stat
121,openat
122,lseek
123,stat
124,stat
125,stat
126,stat
127,stat
128,stat
129,lseek
130,lseek
131,lseek
132,lseek
133,lseek
134,lseek
135,lseek
136,stat
137,stat
138,stat
139,stat
140,stat
141,stat
142,stat
143,lseek
144,lseek
145,lseek
146,lseek
147,lseek
148,lseek
149,lseek
150,lseek
151,write
152,lseek
153,lseek
154,write
155,lseek
156,stat
157,stat
158,stat
159,stat
160,stat
161,stat
162,stat
163,lseek
164,lseek
165,lseek
166,lseek
167,lseek
168,lseek
169,lseek
170,lseek
171,write
172,lseek
173,fstat
174,write
175,lseek
176,write
177,lseek
178,write
179,mmap2
180,lseek
181,write
182,lseek
183,write
184,lseek
185,write
186,lseek
187,write
188,stat
189,futex
190,lseek
191,write
192,lseek
193,write
194,munmap
195,munlock
196,munmap
197,munmap
198,exit_group
